POS,Followed by POS,Count
NOUN,ADP,5140
NOUN,AUX,1647
NOUN,NOUN,1262
NOUN,VERB,1954
NOUN,INTJ,305
NOUN,CCONJ,2301
NOUN,SCONJ,1133
NOUN,PROPN,547
NOUN,DET,769
NOUN,PRON,3502
NOUN,ADJ,238
NOUN,PART,344
NOUN,ADV,1107
NOUN,NUM,89
NOUN,X,10
VERB,ADV,1290
VERB,DET,2540
VERB,CCONJ,489
VERB,PRON,4849
VERB,SCONJ,1271
VERB,NOUN,847
VERB,AUX,142
VERB,ADP,3734
VERB,PROPN,764
VERB,VERB,365
VERB,ADJ,462
VERB,PART,662
VERB,NUM,134
VERB,INTJ,133
VERB,X,7
ADJ,PART,233
ADJ,PROPN,222
ADJ,NOUN,4087
ADJ,ADJ,485
ADJ,ADP,759
ADJ,VERB,254
ADJ,CCONJ,426
ADJ,PRON,444
ADJ,ADV,244
ADJ,SCONJ,422
ADJ,AUX,99
ADJ,DET,183
ADJ,NUM,54
ADJ,INTJ,57
ADV,ADP,933
ADV,VERB,1419
ADV,ADV,1051
ADV,DET,331
ADV,NOUN,91
ADV,AUX,309
ADV,ADJ,1205
ADV,PRON,1287
ADV,CCONJ,410
ADV,SCONJ,436
ADV,INTJ,113
ADV,PART,130
ADV,NUM,91
ADV,PROPN,128
PRON,NOUN,3270
PRON,CCONJ,470
PRON,AUX,6213
PRON,ADJ,799
PRON,DET,458
PRON,ADP,1193
PRON,PRON,1794
PRON,VERB,5885
PRON,ADV,884
PRON,NUM,32
PRON,SCONJ,454
PRON,PART,308
PRON,INTJ,174
PRON,PROPN,288
PRON,X,1
DET,PROPN,908
DET,NOUN,7755
DET,ADJ,2851
DET,DET,216
DET,NUM,122
DET,ADV,317
DET,VERB,175
DET,PRON,96
DET,CCONJ,3
DET,INTJ,12
DET,PART,2
DET,SCONJ,4
DET,X,3
DET,AUX,4
DET,ADP,7
ADP,PROPN,1483
ADP,DET,5297
ADP,PRON,3571
ADP,VERB,421
ADP,SCONJ,144
ADP,ADP,685
ADP,NOUN,1613
ADP,NUM,286
ADP,ADJ,548
ADP,ADV,316
ADP,CCONJ,135
ADP,AUX,81
ADP,PART,34
ADP,INTJ,37
ADP,X,1
NUM,PROPN,21
NUM,ADV,29
NUM,ADP,190
NUM,NOUN,460
NUM,CCONJ,66
NUM,PRON,63
NUM,VERB,43
NUM,NUM,40
NUM,AUX,21
NUM,ADJ,74
NUM,SCONJ,12
NUM,DET,19
NUM,INTJ,6
NUM,PART,5
